partId,colorId,productionFrom,productionTo,setParts,sets
11212,0,2016,2021,226,67
11212,1,2021,2021,1,1
11212,15,2015,2021,187,62
11212,19,2020,2021,66,6
11212,191,2020,2021,9,5
11212,2,2019,2021,14,8
11212,27,2019,2021,9,4
11212,272,2015,2021,31,14
11212,29,2013,2016,3,2
11212,4,2018,2021,55,15
11212,71,2012,2021,347,104
11212,72,2013,2021,386,116
14716,0,2014,2021,89,33
14716,15,2014,2021,205,81
14716,19,2016,2021,242,34
14716,191,2020,2021,9,2
14716,226,2014,2020,13,5
14716,29,2020,2020,4,1
14716,308,2014,2016,14,5
14716,322,2016,2021,36,10
14716,4,2014,2021,63,19
14716,70,2017,2021,73,24
14716,71,2014,2021,239,68
14716,73,2017,2017,2,1
14716,85,2017,2017,8,1
15397,0,2015,2021,54,35
15397,15,2014,2021,29,23
15397,19,2016,2020,45,12
15397,30,2015,2015,3,2
15397,484,2014,2015,5,5
15397,70,2015,2020,37,29
15397,71,2018,2019,5,3
22886,14,2017,2017,5,3
22886,15,2016,2021,65,31
22886,28,2018,2019,14,2
22886,323,2021,2021,9,1
22886,484,2020,2021,14,3
22886,71,2017,2021,75,30
22886,73,2016,2017,5,2
2356,0,1998,2010,18,9
2356,1,1998,2002,11,5
2356,110,1999,1999,1,1
2356,14,1988,1999,6,6
2356,15,1996,2002,5,4
2356,2,2000,2006,11,5
2356,4,1986,2001,10,6
2356,7,1998,2003,20,6
2356,71,2004,2010,16,7
2356,8,1998,2003,3,3
2357,0,1987,2021,1128,279
2357,1,1987,2021,271,74
2357,1051,2005,2011,63,4
2357,14,1988,2021,446,106
2357,15,1987,2021,1491,323
2357,19,1999,2021,1103,143
2357,191,2014,2021,51,13
2357,2,1999,2020,205,28
2357,25,2018,2021,28,11
2357,26,2016,2020,8,3
2357,272,2005,2021,140,20
2357,28,2020,2021,26,5
2357,30,2015,2015,1,1
2357,31,2016,2020,37,7
2357,313,2004,2004,20,1
2357,320,2004,2021,268,47
2357,322,2014,2014,3,1
2357,335,2004,2004,4,2
2357,378,2000,2005,531,7
2357,379,2004,2004,6,1
2357,4,1987,2021,597,161
2357,484,2002,2020,61,12
2357,5,2016,2019,3,2
2357,6,1999,2004,27,9
2357,7,1987,2005,297,86
2357,70,2004,2021,604,130
2357,71,2004,2021,1237,216
2357,72,2004,2021,1478,208
2357,73,2003,2017,33,8
2357,74,2000,2000,1,1
2357,8,1998,2005,76,28
2357,85,2004,2021,14,6
2420,0,1987,2021,2733,627
2420,1,1987,2021,573,166
2420,14,1987,2021,796,196
2420,15,1987,2021,1779,429
2420,19,1998,2021,858,184
2420,191,2016,2021,46,20
2420,2,2000,2021,681,112
2420,25,1999,2021,107,27
2420,26,2015,2020,28,12
2420,27,2005,2021,143,48
2420,272,2008,2021,302,52
2420,28,2009,2021,674,94
2420,3,1998,1998,8,2
2420,30,2013,2020,43,18
2420,320,2005,2021,284,54
2420,322,2020,2021,9,4
2420,378,2000,2021,212,12
2420,379,2004,2004,4,1
2420,4,1987,2021,1255,314
2420,462,2003,2003,2,1
2420,484,2002,2017,15,5
2420,6,2002,2002,3,2
2420,7,1987,2003,390,97
2420,70,2004,2021,749,207
2420,71,2004,2021,1589,356
2420,72,2003,2021,1860,363
2420,73,2002,2012,40,10
2420,8,1999,2005,92,17
2420,80,2008,2008,8,1
2420,84,2017,2021,91,26
2420,85,2004,2020,25,8
2445,0,1988,2021,715,325
2445,1,1989,2021,118,67
2445,118,2005,2005,1,1
2445,14,1989,2010,13,9
2445,15,1990,2021,346,167
2445,19,1998,2021,43,24
2445,2,2001,2021,22,9
2445,226,2020,2020,2,2
2445,25,1998,2020,31,11
2445,26,2018,2020,10,4
2445,272,2018,2020,9,4
2445,28,2005,2021,5,4
2445,29,2012,2012,3,2
2445,31,2019,2020,9,2
2445,320,2005,2017,26,13
2445,322,2021,2021,6,1
2445,4,1988,2021,168,78
2445,6,2001,2003,4,3
2445,7,1990,2004,145,50
2445,70,2004,2021,199,68
2445,71,2004,2021,607,193
2445,72,2004,2021,477,196
2445,74,1997,1997,1,1
2445,8,1998,2004,60,17
2445,85,2021,2021,2,1
2453a,0,1988,2013,111,39
2453a,1,1988,1989,8,2
2453a,14,1989,2012,55,13
2453a,15,1988,2014,348,92
2453a,18,2002,2003,4,2
2453a,19,1999,2012,76,25
2453a,25,2006,2009,6,3
2453a,288,2005,2008,6,2
2453a,320,2003,2008,41,5
2453a,4,1988,2012,71,22
2453a,484,2002,2004,5,3
2453a,5,2008,2008,2,1
2453a,6,1996,2004,15,5
2453a,7,1988,2003,60,26
2453a,70,2004,2014,56,21
2453a,71,2004,2014,99,27
2453a,72,2004,2014,76,23
