id,name,category,productionFrom,productionTo,setParts,sets,prints
3005,Brick 1 x 1,Bricks,1954,2021,59197,3543,142
14716,Brick 1 x 1 x 3,Bricks,2014,2021,997,244,0
2453a,Brick 1 x 1 x 5 with Blocked Open or Hollow Stud,Bricks,1988,2021,1053,287,0
2453b,Brick 1 x 1 x 5 with Solid Stud,Bricks,2011,2021,1072,282,0
6111,Brick 1 x 10,Bricks,1993,2021,1965,568,6
6112,Brick 1 x 12,Bricks,1993,2021,1571,515,0
2465,Brick 1 x 16,Bricks,1988,2021,1461,455,2
3004,Brick 1 x 2,Bricks,1959,2021,81514,4927,102
3065,Brick 1 x 2 without Bottom Tube,Bricks,1954,2021,5972,662,4
brickslot1x2,"Brick 1 x 2 without Bottom Tube, Slotted (with 1 slot)",Bricks,1953,1955,45,3,0
772,Brick 1 x 2 x 2 with Hollow Underside,Bricks,2006,2008,34,9,1
3245b,Brick 1 x 2 x 2 with Inside Axle Holder,Bricks,1991,2011,886,164,11
3245c,Brick 1 x 2 x 2 with Inside Stud Holder,Bricks,2010,2021,3054,643,42
22886,Brick 1 x 2 x 3 with Bottom Stud Holder,Bricks,2016,2021,187,71,0
2454a,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,Bricks,1988,2016,2058,396,8
2454b,Brick 1 x 2 x 5 with Hollow Studs and Bottom Stud Holder with Symmetric Ridges,Bricks,2007,2021,1555,312,4
46212,Brick 1 x 2 x 5 without Side Supports,Bricks,1988,2021,441,121,1
3622,Brick 1 x 3,Bricks,1978,2021,18890,2215,66
3755a,Brick 1 x 3 x 5 with Side Supports,Bricks,1990,2007,104,29,0
3755,Brick 1 x 3 x 5 without Side Supports,Bricks,1978,1987,103,6,2
3010,Brick 1 x 4,Bricks,1963,2021,36364,3605,138
3066,Brick 1 x 4 without Bottom Tubes,Bricks,1979,2021,211,77,1
49311,Brick 1 x 4 x 3,Bricks,2019,2021,49,23,9
3009,Brick 1 x 6,Bricks,1963,2021,18993,2478,63
3009b,"Brick 1 x 6 with Bottom Tubes, with 2 Lowered Cross Supports",Bricks,1985,2000,13,4,0
3067,Brick 1 x 6 without Bottom Tubes,Bricks,1979,1992,33,12,7
3009a,"Brick 1 x 6 without Bottom Tubes, with 2 Raised Cross Supports",Bricks,1955,1969,274,26,41
3754,Brick 1 x 6 x 5,Bricks,1978,2007,176,40,9
3008,Brick 1 x 8,Bricks,1963,2021,9111,1620,44
3008b,"Brick 1 x 8 with Bottom Tubes, with 3 Lowered Cross Supports",Bricks,1973,1993,21,4,0
3008a,"Brick 1 x 8 without Bottom Tubes, with Raised Cross Supports",Bricks,1955,1971,229,37,33
733ex,"Brick 10 x 10 without Bottom Tubes, with '+' Cross Support (early Baseplate)",Bricks,1965,1965,1,1,0
733,"Brick 10 x 10 without Bottom Tubes, without Cross Supports",Bricks,1963,1969,12,11,0
700ed,"Brick 10 x 20 with Bottom Tubes in single row around edge, with '+' Cross Support",Bricks,1968,1980,60,31,0
700ed2,"Brick 10 x 20 with Bottom Tubes in single row around edge, with dual '+' Cross Supports",Bricks,1976,1977,12,10,0
700ex,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support (early Baseplate)",Bricks,1957,1969,45,22,0
700e,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support and 4 Side Supports (early Baseplate)",Bricks,1954,1955,2,2,0
30072,Brick 12 x 24,Bricks,1996,2008,27,21,0
3006,Brick 2 x 10,Bricks,1954,2021,1641,544,6
3006b,"Brick 2 x 10 without Bottom Tubes, Slotted (with 1 slot)",Bricks,1954,1954,5,1,0
brickslot2x12,"Brick 2 x 12 without Bottom Tubes, Slotted (with 1 slot)",Bricks,1954,1954,5,1,0
brickslot2x14,"Brick 2 x 14 without Bottom Tubes, Slotted (with 1 slot)",Bricks,1954,1954,5,1,0
3003,Brick 2 x 2,Bricks,1974,2021,46939,3212,84
2357,Brick 2 x 2 Corner,Bricks,1987,2021,10258,1394,0
brickslot2x2,"Brick 2 x 2 without Bottom Tubes, Slotted (with 1 slot)",Bricks,1949,1950,109,5,0
brickslot2x2a,"Brick 2 x 2 without Bottom Tubes, Slotted (with 2 slots, opposite)",Bricks,1949,1955,99,4,0
3003a,Brick 2 x 2 without Cross Support,Bricks,1954,1986,7011,471,0
6223,Brick 2 x 2 without Inside Ridges,Bricks,1985,2021,1058,122,0
3003b,Brick 2 x 2 without Inside Support or Tubes,Bricks,1955,1955,2,2,0
30145,Brick 2 x 2 x 3,Bricks,1997,2021,752,216,3
